Recipient.Organization,ngotype
Schˆnst‰tter Marienschwestern,International NGO
Ruedi L¸thy Foundation,International NGO
Association du Centre de SantÈ de Musongati,International NGO
Caritas Peru,National NGO
International Media Support,International NGO
Voluntary Organisations in Cooperation in Emergencies,International NGO
Middle East Childrenís Institute,International NGO
Right to Play,International NGO
Chavin Organization for the Care of Children,Local/National NGO
Harikar NGO,National NGO
Action Africa Help International,Southern International NGO
Association Medina,International NGO
Samusocial International,International NGO
Support to Life,National NGO
Action Against Hunger,International NGO
Associazione Amici dellíOasis Togo,International NGO
MÈdecins du Monde Canada,Internationally affiliated NGO
Street Children Aid,National NGO
Afro-Canadian Evangelical Mission,National NGO
Tawa Organization for Civil Development,Local/National NGO
Benevolence Coalition For Humanitarian Relief,National NGO
Wethaq Foundation for Civil Orientation,National NGO
Community Aid for Relief and Development,National NGO
Al-Badyah Charitable Foundation,Undefined NGO
Help Restore Youth South Sudan,National NGO
Community Aid for Fisheries and Agriculture Development,National NGO
Children Aid South Sudan,National NGO
Africa Development Aid,National NGO
Centre for Emergency and Development Support,International NGO
Humanitarian Quality Assurance Initiative,International NGO
HOPEí87 - Hundreds of Original Projects for Employment,International NGO
Center for Diversity and National Harmony,National NGO
Geneva Call,International NGO
Abo Mousa Alashary Social Charitable Association,National NGO
Center for the Defence of the Individual,Southern International NGO
MA'AN Development Center,National NGO
NGO Development Center,Southern International NGO
Palestinian Al Nakheel Association for Progress and Development,National NGO
Palestinian Center for Human Rights,National NGO
Union of Health Work Committees,National NGO
Mercy Corps Scotland,International NGO
Peace Bridge Association,National NGO
Sudanese Organization for Relief and Recovery (formerly Sudanese Organization for Rehabilitation and Construction),National NGO
African Volunteers for Relief and Development,National NGO
ArmÈe du Salut Kalemie,Internationally affiliated NGO
"Association des Volontaires pour la Recuperation des Enfants Orphelins,AbandonnÈs,DÈplacÈs et Mal",National NGO
Save Congo,National NGO
AMAR International Charitable Foundation,International NGO
Help The Needy,International NGO
SOS Sahel Ethiopia,Internationally affiliated NGO
METAdrasi - Action for Migration and Development,National NGO
Start Point,Southern International NGO
Shaqodoon Organization,National NGO
Action Mopti,International NGO
Initiative for Rural Empowerment,Local NGO
ACT Alliance / World Renew,International NGO
Habitat for Humanity Ethiopia,Internationally affiliated NGO
Sarvodaya Shramadana Movement,National NGO
Catholic Caritas Foundation of Nigeria,National NGO
Center for Disaster Preparedness,National NGO
VÈtÈrinaire sans Frontieres,International NGO
Action pour le DÈveloppement du Sahel,National NGO
Syria Relief Network,Southern International NGO
Campana Colombiana Contra Minas,National NGO
World Relief Deutschland e.V.,International NGO
Association pour la CoopÈration Technique et au DÈveloppement,International NGO
Ana Aqra Association,National NGO
Lebanese Society for Educational and Social Development,Southern International NGO
Medical Teams International,International NGO
Restart Center for Rehabilitation of Victims of Violence and Torture,National NGO
Social Humanitarian Economical Intervention for Local Development,National NGO
CARE Germany-Luxembourg eV,International NGO
All Girls Foundation for Development,National NGO
Violet Organization,National NGO
Yemen Women Union,National NGO
Vet-Care Organization,National NGO
Mubadiroon Organization for Prevention of Disaster and War Impacts,National NGO
Kabkabiya Women Charitable Society,Local NGO
Jabal Marra Charity Organization for Rural Development,National NGO
Relief and Mediation Corps,National NGO
"Emergency Relief, Rehabilitation and Development Agency",National NGO
Rufaida Health Foundation,National NGO
Saeker Charitable Society,National NGO
National Humanitarian Aid Organization,Undefined NGO
National Initiative for Development Organization,National NGO
Trust Rehabilitation and Development Organization,National NGO
SOS Sahel Sudan,Internationally affiliated NGO
Caritas Austria | CARITAS,International NGO
Almasheesh Organization for Development and Creative Art,National NGO
Health Work Committees,National NGO
Psycho Social Counselling Center for Women,National NGO
Save Youth Future Society,National NGO
Treatment and Rehabilitation Center for Victims of Torture,National NGO
Arab Agronomist Association,National NGO
Union of Agricultural Work Committees,National NGO
RedR UK,International NGO
Syaj Charity Organization,Local/National NGO
Sidra Organization for Development and Reconstruction,Undefined NGO
Caritas Spain,International NGO
Padem,International NGO
SolidaritÈs International (SI),International NGO
Center of Excellence for Rural Development,National NGO
Action Health Incorporated,National NGO
Estonian Refugee Council,International NGO
NGO Ukrainian Cultural Center,Undefined NGO
CBM International (formerly Christian Blind Mission),International NGO
OXFAM | OXFAM GB,International NGO
Peace Boat Disaster Relief Volunteer Center,International NGO
Polish Humanitarian Team,International NGO
Society for Human Rights and Prisoner's Aid,National NGO
BRAC,Southern International NGO
Humanitarian Relief Foundation,Southern International NGO
NGOs,Undefined NGO
ComitÈ díAppui Ì† líAuto Promotion,Local NGO
Action Contre la Faim | ACF - France,International NGO
Arakan Rohingya Union,Southern International NGO
ARCS ARCI Cultura e Sviluppo,International NGO
Instituto per la Cooperazione Universitaria Onlus,International NGO
Upper Nile Youth Mobilization for Peace and Development Agency,National NGO
Light for the World,International NGO
Al-Baida Coalition for Relief and Humanitarian Actions,Undefined NGO
Sadad Humanitarian Organization,Southern International NGO
Plan Niger | Plan Ireland,International NGO
Network Partnership for Development and Justice E. V,International NGO
Salute e Sviluppo ONG,International NGO
World Vision UK,International NGO
CARE-UK,International NGO
Aktion Afrika Hilfe,International NGO
RefuSHE (Former Heshima Kenya),National NGO
World Vision Ireland | World Vision International,International NGO
Building foundation for Development,Southern International NGO
Al-Ameen for Humanitarian Support,Southern International NGO
"Hand in Hand Appeal, Syria",International NGO
Wajir South Development Association,Southern International NGO
Rural Agency for Community Development and Assistance,Southern International NGO
CHS Alliance,International NGO
Solidaridad Internacional,International NGO
World Vision Central African Republic,Internationally affiliated NGO
Management Sciences for Health,International NGO
Mobile Theatre Team,National NGO
Grassroots Relief and Development Agency,National NGO
Verein Hilfe fur Bangladesch,International NGO
Healthlink South Sudan,National NGO
Plan International | Plan Sweden,International NGO
Rural Organization for Advocacy and Development International,Southern International NGO
AFAK Future for Capacity Building,Southern International NGO
JORDAN RIVER FOUNDATION,National NGO
Jordan Women Union-Un Ponte Per,National NGO
Union of Relief and Development Association,National NGO
Welfare Association,International NGO
ASSOCIATION DES JEUNES ISLAMIQUES,National NGO
Association Nabad for Development,National NGO
Agence Humanitaire Africaine,Southern International NGO
Community Humanitarian Emergency Board,Southern International NGO
Action for Population and Sustainable Development,National NGO
Caritas Bangladesh,National NGO
Enfants sans FrontiËres,National NGO
MÈdecins d'Afrique,Southern International NGO
Community Action Organization,National NGO
LiveWell South Sudan,National NGO
Community Health and Development Organization,National NGO
National Relief and Development Corps,National NGO
Community Initiative for Development Organization,National NGO
Real Medicine Foundation,International NGO
Humanitarian Aid for Change and Transformation,National NGO
The Rescue Initiative South Sudan,National NGO
Bent Al-Rafedain Organization,National NGO
Bothoor Alkhaer Human Organization,National NGO
Emergency Medical Care for Affected People,Southern International NGO
Canadian Aid Organization for International Society Rehab,International NGO
The Critical Needs Support Foundation,National NGO
Dary Human Organization for Relief and Medical Care,National NGO
Mine Clearance and Planning Agency,Southern International NGO
New Consultancy and Relief Organization,National NGO
World Concern,International NGO
Associate in Community Development,National NGO
Peace and Development Organization,National NGO
Society for Human and Environmental Development,Local NGO
Health & Social Care Organization in Iraq,National NGO
Human for Human Organization,Undefined NGO
Orchard Association for Children Protection and Education,Undefined NGO
Empowering Vulnerable Society Organization,Undefined NGO
Sahara Economic Development Organization,National NGO
Stichting Cordaid,International NGO
Sabe' Sanabal Organization for Relief and Development,Undefined NGO
General Service Agency,National NGO
Somali Community Concern,National NGO
Women Pioneers for Peace and Life,Undefined NGO
WRO,Southern International NGO
Terre des Hommes - Italy | World Vision International,International NGO
Taakulo Somaliland Community,National NGO
Heal Africa,National NGO
Health Education Agro-pastoral Liaison,Local NGO
Bena Charity For Human Development,National NGO
Al-Aman Organization for Blind Women Care,National NGO
Field Medical Foundation,National NGO
FundaciÛn AcciÛn Contra el Hambre,International NGO
Society for Humanitarian Solidarity,National NGO
Youth Leadership Development Foundation,National NGO
Rural Women's Development Society,National NGO
Responsiveness for Relief and Development,National NGO
Windle Trust International,International NGO
Soul for Development,National NGO
Tamdeen Youth Foundation,National NGO
Integrated Youth and Relief Development Association,National NGO
Active Youth Agency,National NGO
Pathfinder International,International NGO
"Candlelight for Health, Education and Environment",National NGO
Leb Relief,National NGO
Makassed Philanthropic Islamic Association of Beirut,National NGO
Livelihood Relief and Development Organization,Undefined NGO
Mothers and Children Multisectoral Development Organization (MCMDO),National NGO
The Disabled and their Friends Charity Association (DTF),Undefined NGO
Syria Trust for Development,National NGO
Instituto Dominicano de Desarrollo Integral,National NGO
Centre for Community Health and Development International,National NGO
Street Child Organization,International NGO
Kanem Borno Human Development Association,National NGO
Restoration of Hope Initiative,National NGO
Women in the New Nigeria and Youth Empowerment Initiative,Undefined NGO
AsociaciÛn de Trabajadores y TÈcnicos Sin Fronteras,International NGO
OXFAM GB | OXFAM,International NGO
Alianza por la Solidaridad,International NGO
ACT Alliance / Act for Peace,International NGO
Winrock International,International NGO
Associazione di Cooperazione allo Sviluppo,International NGO
Center for Civilians in Conflict,International NGO
Alliance For Action Aid,International NGO
Hope and Rural Aid Foundation,National NGO
Professionals in Humanitarian Assistance and Protection,International NGO
Ronahee Foundation,National NGO
The National Institution of Social Care and Vocational Training,National NGO
Shabelle Relief and Development Organization - SRDO,National NGO
World Vision Uganda,Internationally affiliated NGO
Miak Wadang,International NGO
Nurture Africa,International NGO
Fondazione ‚ÄúOpera San Francesco Saverio‚Äù CUAMM,International NGO
AYUUB Organization,National NGO
Somali Young Doctors Association,National NGO
Association Locale pour le DÈveloppement IntÈgral,Southern International NGO
Hope in Action,National NGO
National Prisoner Foundation,National NGO
For All Foundation,National NGO
Medical Mercy Foundation,National NGO
Association for Community Development,National NGO
CARITAS BUKAVU,National NGO
Caritas DÈveloppement DRC,National NGO
Lazarus-Hilfswerk e.V.,International NGO
Ayuda en AcciÛn,International NGO
Talawiet Organization for Development,National NGO
Touch Africa Development Organization,National NGO
Assistance Mission Africa,Southern International NGO
Himilo Organization for Development,National NGO
Stanis≈Çawa Bie≈Ñczak Child Support Foundation (Fundacja Pomocy Dzieciom im. Stanis≈Çawy Bie≈Ñczak),Local NGO
AlBasar Foundation,Southern International NGO
FrËre des Hommes,International NGO
Terre des Hommes International | Terre des Hommes - Italy,International NGO
Solid House Foundation,International NGO
Polish Medical Mission,International NGO
Messagers de la Paix en Afrique,Undefined NGO
Urgence SolidaritÈ Syrie,International NGO
SolidaritÈ Socialiste,International NGO
Medicair - South Sudan,National NGO
Association for Solidarity with Asylum Seekers and Migrants,National NGO
Coordination Of Rehabilitation Services For Afghanistan,National NGO
ACT Alliance / Diakonie,International NGO
Halte Aux Mines Antipersonnel,International NGO
Mercy Without Limits,International NGO
Nile Sustainable Development Organization,National NGO
Catholic Medical Missons Board,International NGO
Andre Foods South Sudan,Southern International NGO
Organization for Peoples' Empowerment and Needs,Undefined NGO
Community Organization for Emergency and Rehabilitation,Undefined NGO
Titi Foundation,Southern International NGO
Takaful Alsham Charity Organization,Undefined NGO
"Zaporizhzhia Region Charity Fund ""Child Smile""",National NGO
BINAA Organization for Development,Southern International NGO
Humanitarian and Development Consortium,National NGO
ROIA Information and Communication Technology,Southern International NGO
Johanniter International Assistance,International NGO
Caritas Congo,National NGO
Amis des Personnes en DÈtresse,Local NGO
Communicating with Disaster Affected Communities,International NGO
Entrepreneurs Organization for Relief and Development,National NGO
Custodian of Two Holy Mosques Relief Campaign,Southern International NGO
Janat Al-Frdaws Foundation for Relief and Development,National NGO
Humane Aid for Community Organization,National NGO
ONG Espoir,National NGO
Women of Africa,International NGO
Caritas Dev Kalemie,National NGO
CARITAS BUTEMBO,National NGO
CARITAS DEV GOMA,National NGO
Magna Deti v nudzi [Magna Children at Risk],International NGO
CARITAS UVIRA,National NGO
SantÈ Rurale,National NGO
Human Appeal UK,International NGO
Public Aid Organization,National NGO
Helen Keller International,International NGO
Sudanese Development Call Organization,National NGO
INSAN Iraqi Society for Relief and Development,National NGO
Pestalozzi Children's Foundation,International NGO
EPER - Swiss Church Aid,International NGO
Groupe de Recherche et de RÈalisations pour le DÈveloppement Rural,International NGO
Action Against Disasters Somalia,National NGO
New Ways Organization,National NGO
Uganda Women's Effort to Save Orphans,National NGO
ACT Alliance / Christian World Service,International NGO
Rural Education and Agriculture Development Organization,National NGO
Somali Humanitarian and Development Action,Local NGO
Inter Religious Council,National NGO
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,Southern International NGO
ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,International NGO
Palestinian Hydrology Group,National NGO
International Blue Crescent Relief and Development Foundation,Southern International NGO
CARE Netherlands,International NGO
CARE Ethiopia,Internationally affiliated NGO
Watan Khayr Charity Foundation,International NGO
Bonyan (Bina Insan),Southern International NGO
African Humanitarian Corps,Southern International NGO
Action ChrÈtienne Tous pour la SolidaritÈ,National NGO
Ata'a for Relief and Development,National NGO
Atfaluna Society for Deaf Children,National NGO
BBC Media Action,International NGO
Ghiras Alnahda Organization,Southern International NGO
Mobile Humanitarian Agency,National NGO
Maram Foundation for Relief and Development,International NGO
Syrian Expatriates Medical Association,Southern International NGO
Hydraulique Sans FrontiËres,International NGO
Agence de DÈveloppement Economique et Social,Southern International NGO
Action pour la Promotion du Bien Etre Social,National NGO
Sonbola Group for Education and Development,National NGO
Dhaka Ahsania Mission,National NGO
Ligue de la Zone Afrique pour la DÈfense des Droits des Enfants et ElËves,National NGO
Association Mamans Uzima Kalemie,National NGO
Centre d'Etudes et d'Actions Sociales,National NGO
CARE Yemen,International NGO
Enfants du Monde,International NGO
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,International NGO
Build Change,International NGO
Ocean Training and Promotion,International NGO
Nos Petits FrËres et S≈ìurs - Haiti,Internationally affiliated NGO
Tadamun Social Society,National NGO
Al Mithaq,Undefined NGO
Education Health Social Awareness and Rehabilitation,National NGO
Consortium of Dutch NGOs,International NGO
Shafak Organization,Southern International NGO
Bahar Organization,Southern International NGO
Muslim Hands International,International NGO
Ethiopian Evangelical Church Mekane Yesus Development and Social Services Commission,National NGO
Internews Europe,International NGO
Save Lives Initiative South Sudan,National NGO
Hope Restoration South Sudan,National NGO
Stop Poverty Communal Initiative,Undefined NGO
Kueng Community Development Agency,Undefined NGO
Aid Support Community Organization,Local NGO
Christian Recovery and Development Agency,Southern international NGO
"Yem. Gen. Union of Sociologists, S. Workers and Psychologists",National NGO
VENRO,International NGO
Youth Organization for Social Action,Undefined NGO
Mayar Foundation for Development,National NGO
Community Partners International,International NGO
World Vision Somalia,Internationally affiliated NGO
Christian Agenda for Development,National NGO
Change Agent Organization,National NGO
"Organization for Peace, Relief and Development",National NGO
Human Call Association,Local NGO
Transcultural Psychosocial Organization,International NGO
Generations without Qat,National NGO
Medicos do Mundo,International NGO
Africare/Catholic Relief Services,International NGO
Millenium Development Foundation,National NGO
Vision to Change the World,Southern International NGO
Civic Democratic Initiatives Support Foundation,National NGO
Al-Atta for Relief and Development,National NGO
Comprehensive Community Based Rehabilitation in Somaliland,National NGO
Humanitarian Integrity for Women Action on Advocacy for Peace and Human Right,National NGO
Himilo Relief and Development Association,International NGO
Socio-Economic Development and Human Rights Organization,Local NGO
Palestinian Center for Democracy and Conflict Resolution,National NGO
ONG Tabitha,Internationally affiliated NGO
REST - Relief Society of Tigray,Local NGO
National Center for Community Rehabilitation,National NGO
World Vision Jerusalem West Bank Gaza,Internationally affiliated NGO
Central Blood Bank Society,National NGO
Yanabia Al-khir Foundation,National NGO
Al-Twasul For Human Development,National NGO
Estijabah Network for Humanitarian Aid and Relief,National NGO
Al-Hikma Al-Yamania Association for Charity,National NGO
Rebuild Syria Reconstruction Program,International NGO
Jordanian Hashemite Fund for Human Development,National NGO
International Patients' Helping Society,Undefined NGO
Jordan Hashemite Charity Organization,Southern International NGO
Civil Society Human Rights Organization South Sudan,Undefined NGO
Grassroot Empowerment and Development Organization,National NGO
Centre for Affordable Water and Sanitation Technology,International NGO
Jireh Doo Foundation,National NGO
IMPACT Initiatives,International NGO
Ninurta,Local NGO
Farmer's Life Development Agency,National NGO
International Medical Volunteers Japan Heart,International NGO
"Human Relief Foundation, UK",International NGO
Foundation for Refugee Economic Empowerment,International NGO
Taybah Foundation Development,National NGO
Legal Action Worldwide,International NGO
International Association for Maternal and Neonatal Health,International NGO
Silk Road Organization,Southern International NGO
Tamkeen for Community Development,Undefined NGO
Evangelisches Missionswerk in Deutschland,International NGO
Electriciens sans frontiËres,International NGO
Green Concern for Development,National NGO
Islamic Help,International NGO
Solidarity for Afghan Families,National NGO
Blumont International,International NGO
Mayday Rescue Foundation,International NGO
Matres Mundi,International NGO
Asociacion de Trabajadores y Tecnicos Sin Fronteras,International NGO
Civil Society in Development,International NGO
Population Services International,International NGO
MÈdecins du Monde Suisse,International NGO
Vivamos Mejor,International NGO
ServiÁo Pastoral dos Migrantes,National NGO
FundaciÛn Ayuda en AcciÛn Colombia,Internationally affiliated NGO
"Educo - FundaciÛn EducaciÛn y CooperaciÛn, ChildFund Alliance member",International NGO
Beyaz Eller Association (White Hands Association),Southern International NGO
Takaful for Child Welfare,Southern International NGO
Gazze Destek Derneƒüi (Gaza Support Association),Local NGO
Ghirass For Society Development,National NGO
Al-Nahrain Foundation for Relief and Development,National NGO
Stichting War Child,International NGO
Islamic Social Welfare Organization,National NGO
Al Hadatha Association,National NGO
Somali Relief and Development Action,National NGO
Al-basar International Foundation,Southern International NGO
World Vision Mozambique,Internationally affiliated NGO
Women Rehabilitation Organization,National NGO
Caritas Brazil,National NGO
Islamic Relief Jordan,Internationally affiliated NGO
Family Health International - FHI 360,International NGO
KAALO Aid and Development,Local/National NGO
Al Mezan Center for Human Rights,National NGO
WeWorld Onlus,International NGO
Physicians for Human Rights Israel,National NGO
Gorongosa Project,International NGO
Aertze der Welt e.V.,International NGO
Northern Frontier Youth League,Southern International NGO
Relief and Development Peer Foundation,National NGO
Plan Mali,Internationally affiliated NGO
Fida International | ZOA,International NGO
Swedish Mission Council | PMU-Interlife,International NGO
OIKOS - IntercooperaÁ„o e Desenvolvimento,International NGO
Actions MÈdicales Internationale,International NGO
"Water, Environment & Sanitation Society",Local NGO
Charity Mission Corps,National NGO
Coalition for Humanity South Sudan,National NGO
American Refugee Committee (Alight),International NGO
"Association for Water, Applied Education and Renewable Energy",Local NGO
Global Youth Organization,National NGO
Health Action Aid,National NGO
Healthcare Foundation Organization,National NGO
Humanity Empowerment and Leadership Promotion Organization,National NGO
Support the Empowerment of Women and their Rights for Development,Local NGO
The Rescue Mission,National NGO
United Networks for Health,National NGO
Women Aid Vision,National NGO
JUPEDEC (United Youth for the Protection of the Environment and Community Development),Local NGO
Centre de Support en SantÈ Internationale,Southern International NGO
Genre Paix et Developement,National NGO
Centre for Integrated Development and Research,National NGO
Agricultural Development Association,National NGO
Balochistan Rural Development Society,National NGO
Medicos sin Fronteras,International NGO
CoopÈrative de Production Agricole et Artisanale pour le DÈveloppement du Monde Rural,International NGO
Maison Prisca,National NGO
Women Act for Living Together,National NGO
African Relief Service (Central African Republic),National NGO
All for Peace And Dignity,International NGO
Association pour la Promotion de la Culture,National NGO
Subul Al Salam Social Association,Local NGO
Dummar Youth Charity,National NGO
Children of One World (Bir D¸nya Ìáocuk),Southern International NGO
Action pour un Monde Uni,International NGO
Donbas SOS,National NGO
World Vision Germany,International NGO
Danish Refugee Council | Danish De-mining Group,International NGO
Bremen Overseas Research and Development Association,International NGO
SOS Kinderdorpen,International NGO
INGO Forum Myanmar,National NGO
Katchin Women's Association Thailand,Local NGO
Wan Lark  Foundation,National NGO
Wunpawng Ninghtoi,Local NGO
Women for the World,International NGO
MA-UK Myanmar Serving Humanity,International NGO
Thazin Community Development Initiative,Local NGO
Pan Ka Lay,National NGO
People for People,Local NGO
SwissLimbs,International NGO
Spectrum - Sustainable Development Knowledge Network,National NGO
Community Care for Emergency Response and Rehabilitation,National NGO
Center for Social Integrity,Southern International NGO
World Vision Bangladesh,Internationally affiliated NGO
Humanitarian Advisory Group,International NGO
Caritas ComitÈ DiocÈsain de DÈveloppement Maroua-Mokolo,National NGO
Di·logo Diverso,National NGO
Developmental Action Without Border (Nabaa),National NGO
Aktion Deutschland Hilft,International NGO
Syria Al Yamama Charity Association (SYCA),National NGO
Al Wasel Association,National NGO
Al Hussein Society Jordan Center for Training and Inclusion (AHS),National NGO
The Ghassan Kanfani Cultural Foundation,National NGO
Caritas Venezuela,National NGO
FundaciÛn Entreculturas - Fe y AlegrÌ≠a,International NGO
Children in Crisis,International NGO
"Education, Health, Social Awareness and Rehabilitation Foundation",National NGO
Hand in Hand For Aid and Development,International NGO
Nour Foundation for Relief and Development,National NGO
International Organization for Community Development and Humanitarian Support,International NGO
Afkar Foundation,Southern International NGO
Marsa Sexual Health Center,National NGO
Sustainable International Medical Relief Organization,Southern International NGO
Asian Harm Reduction Network,Southern International NGO
Rahma International Society,International NGO
Caritas Czech Republic,International NGO
Pompiers de l'urgence Internationale,International NGO
Pro Familia Switzerland,International NGO
Invisible Children,International NGO
Asamblea De Cooperacion Por La Paz,International NGO
World Vision Afghanistan,Internationally affiliated NGO
Afghan Women's Educational Center,National NGO
Welfare Association for the Development of Afghanistan,National NGO
ActionAid International Zimbabwe,Internationally affiliated NGO
Muhammadiyah Disaster Management Center,National NGO
Central Board of Nahdlatul Ulama,National NGO
Age International,International NGO
Saferworld,International NGO
Nonviolence International,International NGO
A Call to Serve International,National NGO
Health Equity Initiatives Sdn Bhd,National NGO
Alshrooq Organisation for Social and Cultural Development,National NGO
ACT Alliance / Kerk in Actie - Netherlands,International NGO
Help a Child International (Red een Kind),International NGO
Mukti Cox's Bazar,National NGO
Waqf Alrahma Alkhairi,Local NGO
COPE - The Cooperative Orthotic and Prosthetic Enterprise,National NGO
Society for Social & Technological Support,Southern International NGO
Nepal Development Society (NEDS),National NGO
Horan Islamic Society,Local NGO
Al-Khair Foundation (AKF),International NGO
Islamic Relief Worldwide | Almassar Charity organization for Nomadís Development and Environmental Conservation,Undefined NGO
White Hand Organization for Development,Undefined NGO
Ujamaa na Watoto Wenye Haki Initiative,Southern International NGO
Commission Nationale des Droits de líHomme de Mauritanie,National NGO
Big Heart Foundation,Southern International NGO
COAST Trust,National NGO
WATAN Foundation,International NGO
Mine Clearance and Planning Agency | HALO Trust,International NGO
HALO Trust | Organisation for Mine Awareness and Reconstruction,International NGO
Caritas Centrafricaine - Bouar,National NGO
UK-Med,International NGO
Femmes Unies contre la Malnutrition - Kundji Fondo,Local NGO
Association of Christian Resource Organizations Serving Sudan,Southern International NGO
Learning Through Skills Acquisition Initiative,Local NGO
Food Agriculture and Disaster Management,Local NGO
Caritas Australia,International NGO
Humanitarian Aid for Development,Local NGO
Zireenza Support Foundation,National NGO
Syrian Association for Relief and Development,National NGO
South Sudan Grassroot Initiative for Development,National NGO
Sudan Evangelical Mission,National NGO
Netherlands Development Organisation,International NGO
Children Cancer Centre of Lebanon,Internationally affiliated NGO
Africa Development Initiative,National NGO
Afrique Secours Assistance,National NGO
EspÈrance,National NGO
Agir en Centrafrique,International NGO
Kode ti kwa,National NGO
Seeds of Hope (Bozzor Alamal),Southern International NGO
World Vision Zambia,Internationally affiliated NGO
Zakat Fund,International NGO
GOALPrime Organization Nigeria,National NGO
Great Commission Operation Mercy,Local/National NGO
King Hussein Cancer Foundation,National NGO
Charitable Heart Foundation,National NGO
AlSham Assocation,National NGO
Lebanese Association for Rehabilitation and Development,National NGO
Arab Organization for Human Rights,International NGO
SPARK,International NGO
International Academy for Leadership and Development (IALD),National NGO
Benadir Charity Council,National NGO
"Yemen General Union of Sociologists, Social Workers and Psychologists",National NGO
Yemen Alkhair For Relief and Development Foundation,National NGO
Health and Education Association for Development,National NGO
Fathurahman Charitable Association,Local NGO
Al Diaa Humanitarian Association,Local NGO
Care and Social Development Organization,Southern International NGO
Faisal Educational Society,Local NGO
Guidance Educational And Welfare Society,Local NGO
Jamia Islamia Ishaatul Uloom,Local NGO
Khanpur Azad Gram Unnayan Samity,Local NGO
Madeenathul-uloom Educational And Charitable Trust,Local NGO
Markazu Ihyail Fikril Islami Institute,Local NGO
Moulana Ali Miyan Nadwi Educational and Charitable Trust,Local NGO
The Foundation for Advancing Development Integration,National NGO
AS-SALAM EDUCATIONAL CENTRE,Local NGO
Assanabil Foundation,National NGO
Kandil Development and Aid Association (Kandil Kalkƒ±nma ve Yardƒ±mla≈üma Derneƒüi),Southern International NGO
Mindanao Modern Education and Development Foundation,National NGO
ONG Arpieca,National NGO
Association Marhama,National NGO
International Health Partners,International NGO
Self Help Africa,International NGO
Durrell Wildlife Conservation Trust,International NGO
Hand by Hand Foundation,National NGO
Action des Volontaires Unis pour le DÈveloppement et la SantÈ,National NGO
Action pour la Promotion de líEnvironnement Social,Local NGO
Actions pour le DÈveloppement IntÈgral par la Conservation Communautaire,National NGO
Association des Jeunes Islamiques pour le DÈveloppement,National NGO
CARITAS BUNIA,National NGO
Synergie pour la lutte antimines,Local NGO
SolidaritÈ FÈminine pour la Paix et le DÈveloppement IntÈgral,National NGO
CARITAS DEVELOPPEMENT MAHAGI-NIOKA,National NGO
Caritas Kananga,National NGO
Caritas Kasongo,National NGO
